#     TIPO            VALOR                  LÍN   COL
--------------------------------------------------
1     KW_MAIN         main                     1     2
2     LLAVE_IZQ       {                        1     7
3     KW_INT          int                      2     5
4     IDENTIFIER      x                        2     9
5     COMA            ,                        2    10
6     IDENTIFIER      y                        2    12
7     COMA            ,                        2    13
8     IDENTIFIER      z                        2    15
9     PUNTO_COMA      ;                        2    16
10    KW_REAL         real                     3     5
11    IDENTIFIER      a                        3    10
12    COMA            ,                        3    11
13    IDENTIFIER      b                        3    13
14    COMA            ,                        3    14
15    IDENTIFIER      c                        3    16
16    PUNTO_COMA      ;                        3    17
17    KW_INT          int                      4     5
18    IDENTIFIER      suma                     4     9
19    COMA            ,                        4    13
20    IDENTIFIER      mas                      4    15
21    PUNTO_COMA      ;                        4    18
22    IDENTIFIER      suma                     6     5
23    ASIGNACION      =                        6    10
24    INT_NUM         45                       6    12
25    PUNTO_COMA      ;                        6    14
26    IDENTIFIER      x                        7     5
27    ASIGNACION      =                        7     7
28    FLOAT_NUM       32.32                    7     9
29    PUNTO_COMA      ;                        7    14
30    IDENTIFIER      x                        8     5
31    ASIGNACION      =                        8     7
32    INT_NUM         23                       8     9
33    PUNTO_COMA      ;                        8    11
34    IDENTIFIER      y                        9     5
35    ASIGNACION      =                        9     7
36    INT_NUM         2                        9     9
37    SUMA            +                        9    11
38    INT_NUM         3                        9    13
39    RESTA           -                        9    15
40    INT_NUM         1                        9    17
41    PUNTO_COMA      ;                        9    18
42    IDENTIFIER      z                       10     5
43    ASIGNACION      =                       10     7
44    IDENTIFIER      y                       10     9
45    SUMA            +                       10    11
46    INT_NUM         7                       10    13
47    PUNTO_COMA      ;                       10    14
48    IDENTIFIER      y                       11     5
49    ASIGNACION      =                       11     7
50    IDENTIFIER      y                       11     9
51    SUMA            +                       11    11
52    INT_NUM         1                       11    13
53    PUNTO_COMA      ;                       11    14
54    IDENTIFIER      a                       12     5
55    ASIGNACION      =                       12     7
56    FLOAT_NUM       24.0                    12     9
57    SUMA            +                       12    14
58    INT_NUM         4                       12    16
59    RESTA           -                       12    18
60    INT_NUM         1                       12    20
61    DIVISION        /                       12    22
62    INT_NUM         3                       12    24
63    MULTIPLICACION  *                       12    26
64    INT_NUM         2                       12    28
65    SUMA            +                       12    30
66    INT_NUM         34                      12    32
67    RESTA           -                       12    35
68    INT_NUM         1                       12    37
69    PUNTO_COMA      ;                       12    38
70    IDENTIFIER      x                       13     5
71    ASIGNACION      =                       13     7
72    PAR_IZQ         (                       13     9
73    INT_NUM         5                       13    10
74    RESTA           -                       13    12
75    INT_NUM         3                       13    14
76    PAR_DER         )                       13    15
77    MULTIPLICACION  *                       13    17
78    PAR_IZQ         (                       13    19
79    INT_NUM         8                       13    20
80    DIVISION        /                       13    22
81    INT_NUM         2                       13    24
82    PAR_DER         )                       13    25
83    PUNTO_COMA      ;                       13    26
84    IDENTIFIER      y                       14     5
85    ASIGNACION      =                       14     7
86    INT_NUM         5                       14     9
87    SUMA            +                       14    11
88    INT_NUM         3                       14    13
89    RESTA           -                       14    15
90    INT_NUM         2                       14    17
91    MULTIPLICACION  *                       14    19
92    INT_NUM         4                       14    21
93    DIVISION        /                       14    23
